Volume,Page,KF Scientific Name,KF Scientific Name,AH Scientific Name,AH Common Name,"Dimensions (hxw, cm)",Place Name-1,Year-1,Place Name-2,Year-2,Place Name-3,Year-3,Place Name-4,Year-4,Place Name-5,Year-5,Place Name-6 ,Year-6,Place Name-7,Year-7,Place Name-8,Year-8,,
1,76,Nasturtium palustre DC ,Radicula palustris Moench ,Rorippa palustris (L) Bess ,common yellow-cress,37.0 x 26.0,Saint Francis,1881,Orono,1880,South Poland,1893,Shapleigh,1901,Rangeley,1894,Brunswick,1907,,,,,,
1,77,Nasturtium armoracia Fries ,,Armoracia rusticana P G Gaertn B Mey & Scherb ,horse-radish,38.0 x 27.0,Brunswick,1870,,,,,,,,,,,,,,,,
1,78,Barbarea vulgares R Br ,,Barbarea vulgaris Ait f,garden yellow-rocket,30.0 x 20.0,Fort Kent,1880,Saint Francis,1881,South Poland,1895,Castine,1903,,,,,,,,,,
1,79,Barbarea stricta Andrz ,Barbarea vulgaris R Br ,Barbarea stricta Andrz,upright yellow-rocket,29.1 x 17.4,Fort Kent,1880,Fort Kent,1881,,,,,,,,,,,,,,
1,80,Barbarea vulgaris R Br,Barbarea stricta Andrz ,Barbarea vulgaris Ait f,garden yellow-rocket,36.8 x 27. 6 ,Fort Kent,1880,Fairfield,1881,Brunswick,1893,Fort Kent,1881,,,,,,,,,,
1,81,Erysimum chiranthoides L ,,Erysimum cheiranthoides L ,wormseed wallflower,36.5 x 26.5,Wells Beach,1879,Strong,1882,Brunswick,nd,,,,,,,,,,,,
1,82,Sisymbrium officinale Scop ,,Sisymbrium officinale (L) Scop ,common hedge-mustard,29.2 x 23.2,Brunswick,1870,South Poland,1893,Rangeley,1894,Wells,1898,,,,,,,,,,
1,83,Sisymbrium officinale Scop ,,Sisymbrium officinale (L) Scop ,common hedge-mustard,38.6 x 18.6,Brunswick,1891,,,,,,,,,,,,,,,,
1,84,Sisymbrium altissimum L,,Sisymbrium altissimum L ,tumbling hedge-mustard,36.6 x 26.9,East Livermore,1894,Brunswick,1905,,,,,,,,,,,,,,
1,85,Brassica nigra Koch ,,Brassica nigra (L) WDJ Koch ,black mustard,37.4 x 27.4,Brunswick,1903,Orono,nd,Rangeley,nd,South Poland,nd,,,,,,,,,,
1,86,Capsella bursa-pastoris Medik,,Capsella bursa-pastoris (L) Medik ,shepherd's purse,37.8 x 23.5,Brunswick,1871,,,,,,,,,,,,,,,,
1,87,Raphanus sativus L ,,Raphanus sativus L ,cultivated radish,38.2 x 27.1,Gilead,1897,,,,,,,,,,,,,,,,
1,88,Thlaspi arvense L ,,Thlaspi arvense L ,field penny-cress,37.3 x 25.1,Wells Beach,1879,Brunswick,1907,,,,,,,,,,,,,,
1,89,Lepidium virginicum L ,,Lepidicum virginicum L ,poor-man's pepperweed,37.4 x 26.9,Brunswick,nd,Gilead,1897,South Poland,1893,Wells,1879,,,,,,,,,,
1,90,Lepidium apitalum Willd ,Lepidium virginicum L ,Lepidium virginicum L ,poor-man's pepperweed,33.7 x 26.0,Brunswick,1890,Wells Beach,1897,Brunswick,1891,,,,,,,,,,,,
1,91,Cakile americana L ,,Cakile edentula (Bigelow) Hook ,American sea-rocket,37.2 x 27.8 ,Wells Beach,1877,Rockland,1903,Rockland,1909,,,,,,,,,,,,
1,92,Raphanus raphanistrum L ,,Raphanus raphanistrum L ,wild radish,37.7 x 26.9,Orono,1891,South Poland,1893,Wells,1898,,,,,,,,,,,,
1,93,Helianthamum magnus B S P ,Helianthamum canadense M ,Crocanthemum canadense (L) Britt ,Canada frostweed,33.7 x 26.9,Wells,1879,Brunswick,nd,,,,,,,,,,,,,,
1,94,Hudsonia ericoides L ,,Hudsonia ericoides L ,pine-barren false heather,29.9 x 26.2,Cape Small Point,1888,,,,,,,,,,,,,,,,
